GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC04_VC04,HC01_VC05,HC02_VC05,HC03_VC05,HC04_VC05,HC01_VC08,HC02_VC08,HC03_VC08,HC04_VC08,HC01_VC09,HC02_VC09,HC03_VC09,HC04_VC09,HC01_VC10,HC02_VC10,HC03_VC10,HC04_VC10,HC01_VC11,HC02_VC11,HC03_VC11,HC04_VC11,HC01_VC12,HC02_VC12,HC03_VC12,HC04_VC12,HC01_VC13,HC02_VC13,HC03_VC13,HC04_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC04_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC04_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC04_VC19,HC01_VC20,HC02_VC20,HC03_VC20,HC04_VC20,HC01_VC23,HC02_VC23,HC03_VC23,HC04_VC23,HC01_VC26,HC02_VC26,HC03_VC26,HC04_VC26,HC01_VC27,HC02_VC27,HC03_VC27,HC04_VC27,HC01_VC28,HC02_VC28,HC03_VC28,HC04_VC28,HC01_VC29,HC02_VC29,HC03_VC29,HC04_VC29,HC01_VC32,HC02_VC32,HC03_VC32,HC04_VC32,HC01_VC33,HC02_VC33,HC03_VC33,HC04_VC33,HC01_VC34,HC02_VC34,HC03_VC34,HC04_VC34,HC01_VC37,HC02_VC37,HC03_VC37,HC04_VC37,HC01_VC38,HC02_VC38,HC03_VC38,HC04_VC38,HC01_VC39,HC02_VC39,HC03_VC39,HC04_VC39,HC01_VC43,HC02_VC43,HC03_VC43,HC04_VC43,HC01_VC44,HC02_VC44,HC03_VC44,HC04_VC44,HC01_VC45,HC02_VC45,HC03_VC45,HC04_VC45,HC01_VC48,HC02_VC48,HC03_VC48,HC04_VC48,HC01_VC49,HC02_VC49,HC03_VC49,HC04_VC49,HC01_VC50,HC02_VC50,HC03_VC50,HC04_VC50,HC01_VC51,HC02_VC51,HC03_VC51,HC04_VC51,HC01_VC52,HC02_VC52,HC03_VC52,HC04_VC52,HC01_VC53,HC02_VC53,HC03_VC53,HC04_VC53,HC01_VC54,HC02_VC54,HC03_VC54,HC04_VC54,HC01_VC55,HC02_VC55,HC03_VC55,HC04_VC55,HC01_VC56,HC02_VC56,HC03_VC56,HC04_VC56,HC01_VC57,HC02_VC57,HC03_VC57,HC04_VC57,HC01_VC58,HC02_VC58,HC03_VC58,HC04_VC58,HC01_VC59,HC02_VC59,HC03_VC59,HC04_VC59,HC01_VC60,HC02_VC60,HC03_VC60,HC04_VC60,HC01_VC61,HC02_VC61,HC03_VC61,HC04_VC61,HC01_VC62,HC02_VC62,HC03_VC62,HC04_VC62,HC01_VC63,HC02_VC63,HC03_VC63,HC04_VC63,HC01_VC64,HC02_VC64,HC03_VC64,HC04_VC64,HC01_VC65,HC02_VC65,HC03_VC65,HC04_VC65,HC01_VC66,HC02_VC66,HC03_VC66,HC04_VC66,HC01_VC67,HC02_VC67,HC03_VC67,HC04_VC67,HC01_VC68,HC02_VC68,HC03_VC68,HC04_VC68,HC01_VC69,HC02_VC69,HC03_VC69,HC04_VC69,HC01_VC70,HC02_VC70,HC03_VC70,HC04_VC70,HC01_VC71,HC02_VC71,HC03_VC71,HC04_VC71,HC01_VC72,HC02_VC72,HC03_VC72,HC04_VC72,HC01_VC73,HC02_VC73,HC03_VC73,HC04_VC73,HC01_VC74,HC02_VC74,HC03_VC74,HC04_VC74,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC04_VC79,HC01_VC80,HC02_VC80,HC03_VC80,HC04_VC80,HC01_VC81,HC02_VC81,HC03_VC81,HC04_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83,HC01_VC87,HC02_VC87,HC03_VC87,HC04_VC87,HC01_VC88,HC02_VC88,HC03_VC88,HC04_VC88,HC01_VC89,HC02_VC89,HC03_VC89,HC04_VC89,HC01_VC90,HC02_VC90,HC03_VC90,HC04_VC90,HC01_VC91,HC02_VC91,HC03_VC91,HC04_VC91,HC01_VC92,HC02_VC92,HC03_VC92,HC04_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC95,HC02_VC95,HC03_VC95,HC04_VC95,HC01_VC96,HC02_VC96,HC03_VC96,HC04_VC96,HC01_VC97,HC02_VC97,HC03_VC97,HC04_VC97,HC01_VC98,HC02_VC98,HC03_VC98,HC04_VC98,HC01_VC99,HC02_VC99,HC03_VC99,HC04_VC99,HC01_VC100,HC02_VC100,HC03_VC100,HC04_VC100,HC01_VC101,HC02_VC101,HC03_VC101,HC04_VC101,HC01_VC102,HC02_VC102,HC03_VC102,HC04_VC102,HC01_VC104,HC02_VC104,HC03_VC104,HC04_VC104,HC01_VC108,HC02_VC108,HC03_VC108,HC04_VC108,HC01_VC109,HC02_VC109,HC03_VC109,HC04_VC109,HC01_VC110,HC02_VC110,HC03_VC110,HC04_VC110
8600000US20601,20601,ZCTA5 20601,25028,908,25028,,12190,603,48.7,1.4,12838,543,51.3,1.4,1450,268,5.8,1.0,1713,313,6.8,1.2,1722,287,6.9,1.1,2189,305,8.7,1.1,1659,267,6.6,1.0,3154,381,12.6,1.4,3689,332,14.7,1.3,4617,454,18.4,1.8,1665,279,6.7,1.1,1070,204,4.3,0.8,1313,209,5.2,0.8,666,161,2.7,0.6,121,62,0.5,0.2,36.6,1.3,,,18661,658,74.6,1.8,17592,611,70.3,1.9,2716,299,10.9,1.2,2100,223,8.4,0.9,18661,658,18661,,8986,414,48.2,1.2,9675,389,51.8,1.2,2100,223,2100,,880,143,41.9,4.3,1220,141,58.1,4.3,25028,908,25028,,24139,842,96.4,1.3,889,340,3.6,1.3,24139,842,96.4,1.3,10577,964,42.3,3.4,12152,872,48.6,3.3,140,109,0.6,0.4,62,91,0.2,0.4,0,22,0.0,0.1,0,22,0.0,0.1,0,22,0.0,0.1,899,269,3.6,1.1,145,105,0.6,0.4,4,7,0.0,0.1,170,100,0.7,0.4,29,31,0.1,0.1,188,143,0.8,0.6,186,168,0.7,0.7,177,168,0.7,0.7,23,32,0.1,0.1,0,22,0.0,0.1,23,32,0.1,0.1,0,22,0.0,0.1,0,22,0.0,0.1,348,242,1.4,1.0,889,340,3.6,1.3,255,142,1.0,0.6,55,58,0.2,0.2,128,87,0.5,0.3,257,266,1.0,1.0,25028,908,25028,,11099,996,44.3,3.5,12763,908,51.0,3.3,484,308,1.9,1.2,1068,268,4.3,1.1,62,78,0.2,0.3,479,259,1.9,1.0,25028,908,25028,,1064,345,4.3,1.4,361,170,1.4,0.7,242,169,1.0,0.7,0,22,0.0,0.1,461,251,1.8,1.0,23964,914,95.7,1.4,9994,920,39.9,3.2,12045,843,48.1,3.2,103,96,0.4,0.4,899,269,3.6,1.1,0,22,0.0,0.1,128,179,0.5,0.7,795,312,3.2,1.2,37,62,0.1,0.2,758,307,3.0,1.2,8866,192,,,18131,686,18131,,8746,415,48.2,1.3,9385,416,51.8,1.3
8600000US20602,20602,ZCTA5 20602,26708,940,26708,,12250,620,45.9,1.6,14458,642,54.1,1.6,2183,279,8.2,1.0,1541,276,5.8,1.0,2130,293,8.0,1.1,1988,312,7.4,1.1,1585,278,5.9,1.0,4577,452,17.1,1.7,4480,399,16.8,1.4,3479,339,13.0,1.2,1404,215,5.3,0.8,1056,207,4.0,0.8,1278,164,4.8,0.6,634,165,2.4,0.6,373,188,1.4,0.7,33.2,1.4,,,19464,683,72.9,1.3,18621,673,69.7,1.3,2764,328,10.3,1.1,2285,313,8.6,1.1,19464,683,19464,,8622,439,44.3,1.6,10842,478,55.7,1.6,2285,313,2285,,775,152,33.9,4.5,1510,224,66.1,4.5,26708,940,26708,,25405,940,95.1,1.4,1303,390,4.9,1.4,25405,940,95.1,1.4,9208,648,34.5,2.5,14558,845,54.5,2.4,316,192,1.2,0.7,18,28,0.1,0.1,0,22,0.0,0.1,11,19,0.0,0.1,0,22,0.0,0.1,794,326,3.0,1.2,29,32,0.1,0.1,19,24,0.1,0.1,637,314,2.4,1.2,13,16,0.0,0.1,61,56,0.2,0.2,0,22,0.0,0.1,35,29,0.1,0.1,0,22,0.0,0.1,0,22,0.0,0.1,0,22,0.0,0.1,0,22,0.0,0.1,0,22,0.0,0.1,529,364,2.0,1.4,1303,390,4.9,1.4,715,306,2.7,1.1,5,9,0.0,0.1,55,43,0.2,0.2,74,65,0.3,0.2,26708,940,26708,,10373,684,38.8,2.5,15621,933,58.5,2.6,627,229,2.3,0.9,1031,340,3.9,1.2,124,97,0.5,0.4,615,397,2.3,1.5,26708,940,26708,,2207,463,8.3,1.7,628,341,2.4,1.3,381,242,1.4,0.9,10,14,0.0,0.1,1188,402,4.4,1.5,24501,978,91.7,1.7,7998,630,29.9,2.3,14290,845,53.5,2.5,294,189,1.1,0.7,794,326,3.0,1.2,0,22,0.0,0.1,33,44,0.1,0.2,1092,334,4.1,1.2,0,22,0.0,0.1,1092,334,4.1,1.2,10407,194,,,18233,741,18233,,7998,479,43.9,1.6,10235,455,56.1,1.6
8600000US20603,20603,ZCTA5 20603,31784,1134,31784,,14660,630,46.1,1.3,17124,773,53.9,1.3,2059,334,6.5,1.0,2612,353,8.2,1.1,3056,453,9.6,1.3,2310,260,7.3,0.8,2200,313,6.9,0.9,3873,352,12.2,1.1,4770,425,15.0,1.1,5540,453,17.4,1.3,1888,312,5.9,1.0,1327,190,4.2,0.6,1443,211,4.5,0.7,492,131,1.5,0.4,214,84,0.7,0.3,34.7,0.9,,,22403,807,70.5,1.6,21238,796,66.8,1.7,2772,276,8.7,0.9,2149,257,6.8,0.8,22403,807,22403,,9968,500,44.5,1.3,12435,497,55.5,1.3,2149,257,2149,,909,159,42.3,4.6,1240,162,57.7,4.6,31784,1134,31784,,30020,1245,94.5,1.6,1764,500,5.5,1.6,30020,1245,94.5,1.6,9793,722,30.8,2.1,18004,1108,56.6,2.7,13,20,0.0,0.1,0,25,0.0,0.1,0,25,0.0,0.1,0,25,0.0,0.1,0,25,0.0,0.1,1879,431,5.9,1.3,183,174,0.6,0.5,167,169,0.5,0.5,772,248,2.4,0.8,0,25,0.0,0.1,66,49,0.2,0.2,175,181,0.6,0.6,516,418,1.6,1.3,163,22,0.5,0.1,35,13,0.1,0.1,58,40,0.2,0.1,0,25,0.0,0.1,70,36,0.2,0.1,168,95,0.5,0.3,1764,500,5.5,1.6,810,263,2.5,0.9,24,28,0.1,0.1,213,115,0.7,0.4,179,155,0.6,0.5,31784,1134,31784,,10987,770,34.6,2.3,19399,981,61.0,2.2,298,215,0.9,0.7,2504,537,7.9,1.7,178,20,0.6,0.1,389,234,1.2,0.7,31784,1134,31784,,1948,390,6.1,1.2,674,222,2.1,0.7,703,314,2.2,1.0,35,39,0.1,0.1,536,204,1.7,0.6,29836,1079,93.9,1.2,8619,609,27.1,1.8,17788,1099,56.0,2.7,13,20,0.0,0.1,1879,431,5.9,1.3,163,22,0.5,0.1,10,16,0.0,0.1,1364,439,4.3,1.4,41,49,0.1,0.2,1323,432,4.2,1.4,11212,310,,,21664,833,21664,,9720,523,44.9,1.4,11944,505,55.1,1.4
8600000US20606,20606,ZCTA5 20606,443,167,443,,214,97,48.3,9.0,229,89,51.7,9.0,6,10,1.4,2.2,24,25,5.4,4.9,36,44,8.1,8.3,45,51,10.2,10.2,0,12,0.0,7.1,58,67,13.1,12.5,40,45,9.0,9.2,31,28,7.0,6.5,33,35,7.4,7.5,9,14,2.0,3.3,19,20,4.3,4.8,108,66,24.4,16.8,34,33,7.7,7.5,52.5,23.0,,,332,110,74.9,13.8,332,110,74.9,13.8,170,67,38.4,18.5,161,66,36.3,17.9,332,110,332,,165,68,49.7,12.5,167,71,50.3,12.5,161,66,161,,74,34,46.0,19.3,87,54,54.0,19.3,443,167,443,,401,154,90.5,14.8,42,68,9.5,14.8,401,154,90.5,14.8,374,155,84.4,14.4,27,30,6.1,7.4,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,42,68,9.5,14.8,42,68,9.5,14.8,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,443,167,443,,416,172,93.9,7.4,69,65,15.6,14.4,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,443,167,443,,20,23,4.5,5.2,0,12,0.0,7.1,0,12,0.0,7.1,12,19,2.7,4.3,8,13,1.8,3.1,423,163,95.5,5.2,354,150,79.9,14.3,27,30,6.1,7.4,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,0,12,0.0,7.1,42,68,9.5,14.8,0,12,0.0,7.1,42,68,9.5,14.8,225,57,,,332,110,332,,165,68,49.7,12.5,167,71,50.3,12.5
8600000US20607,20607,ZCTA5 20607,10639,729,10639,,5099,447,47.9,2.3,5540,433,52.1,2.3,445,140,4.2,1.3,567,192,5.3,1.7,1030,223,9.7,1.8,643,156,6.0,1.4,629,180,5.9,1.6,1041,251,9.8,2.1,1461,227,13.7,1.8,1950,276,18.3,2.6,858,201,8.1,2.0,925,216,8.7,1.9,650,158,6.1,1.6,336,134,3.2,1.3,104,83,1.0,0.8,41.6,1.7,,,8110,517,76.2,2.0,7807,511,73.4,2.0,1761,222,16.6,2.2,1090,139,10.2,1.5,8110,517,8110,,3759,331,46.4,2.6,4351,332,53.6,2.6,1090,139,1090,,438,98,40.2,7.0,652,108,59.8,7.0,10639,729,10639,,10325,712,97.0,1.3,314,146,3.0,1.3,10325,712,97.0,1.3,2338,337,22.0,3.1,7115,597,66.9,3.6,63,90,0.6,0.8,0,19,0.0,0.3,0,19,0.0,0.3,0,19,0.0,0.3,0,19,0.0,0.3,569,232,5.3,2.2,0,19,0.0,0.3,0,19,0.0,0.3,361,206,3.4,1.9,50,65,0.5,0.6,4,6,0.0,0.1,44,53,0.4,0.5,110,117,1.0,1.1,0,19,0.0,0.3,0,19,0.0,0.3,0,19,0.0,0.3,0,19,0.0,0.3,0,19,0.0,0.3,240,248,2.3,2.3,314,146,3.0,1.3,150,122,1.4,1.1,42,62,0.4,0.6,15,20,0.1,0.2,40,36,0.4,0.3,10639,729,10639,,2562,383,24.1,3.4,7372,600,69.3,3.3,152,129,1.4,1.2,617,240,5.8,2.2,8,10,0.1,0.1,259,248,2.4,2.3,10639,729,10639,,245,199,2.3,1.8,4,7,0.0,0.1,29,31,0.3,0.3,0,19,0.0,0.3,212,197,2.0,1.8,10394,668,97.7,1.8,2145,399,20.2,4.0,7096,595,66.7,3.6,63,90,0.6,0.8,569,232,5.3,2.2,0,19,0.0,0.3,237,250,2.2,2.3,284,133,2.7,1.2,0,19,0.0,0.3,284,133,2.7,1.2,3634,170,,,7936,492,7936,,3729,334,47.0,2.6,4207,306,53.0,2.6
8600000US20608,20608,ZCTA5 20608,806,150,806,,434,93,53.8,4.8,372,76,46.2,4.8,35,32,4.3,3.9,28,24,3.5,2.6,48,28,6.0,3.2,35,29,4.3,3.2,24,18,3.0,2.1,146,56,18.1,5.5,57,32,7.1,3.7,182,59,22.6,6.4,52,32,6.5,3.4,48,33,6.0,4.2,73,36,9.1,4.6,49,31,6.1,3.8,29,20,3.6,2.5,47.1,4.4,,,664,116,82.4,5.7,659,117,81.8,6.1,194,48,24.1,6.6,151,42,18.7,5.6,664,116,664,,357,77,53.8,5.6,307,62,46.2,5.6,151,42,151,,76,25,50.3,8.8,75,24,49.7,8.8,806,150,806,,791,150,98.1,2.2,15,17,1.9,2.2,791,150,98.1,2.2,355,109,44.0,12.3,422,141,52.4,12.9,14,19,1.7,2.4,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,15,17,1.9,2.2,10,17,1.2,2.1,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,806,150,806,,370,112,45.9,12.8,432,140,53.6,12.6,14,19,1.7,2.4,0,12,0.0,3.9,0,12,0.0,3.9,5,7,0.6,0.8,806,150,806,,7,16,0.9,2.0,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,7,16,0.9,2.0,799,150,99.1,2.0,348,109,43.2,12.2,422,141,52.4,12.9,14,19,1.7,2.4,0,12,0.0,3.9,0,12,0.0,3.9,0,12,0.0,3.9,15,17,1.9,2.2,5,7,0.6,0.8,10,17,1.2,2.1,380,49,,,664,116,664,,357,77,53.8,5.6,307,62,46.2,5.6
8600000US20609,20609,ZCTA5 20609,1111,269,1111,,613,162,55.2,7.1,498,149,44.8,7.1,54,52,4.9,4.2,70,68,6.3,5.4,128,67,11.5,5.5,44,33,4.0,2.7,43,48,3.9,3.9,75,68,6.8,5.4,166,82,14.9,6.2,87,56,7.8,4.7,77,43,6.9,4.5,61,43,5.5,4.1,171,94,15.4,8.7,97,54,8.7,4.6,38,44,3.4,3.8,43.3,12.1,,,826,180,74.3,7.8,815,180,73.4,7.8,345,107,31.1,9.4,306,107,27.5,9.1,826,180,826,,449,130,54.4,7.9,377,92,45.6,7.9,306,107,306,,158,74,51.6,14.2,148,62,48.4,14.2,1111,269,1111,,1019,263,91.7,10.6,92,122,8.3,10.6,1019,263,91.7,10.6,1017,263,91.5,10.6,2,4,0.2,0.4,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,92,122,8.3,10.6,68,106,6.1,9.2,0,12,0.0,2.9,24,32,2.2,2.9,0,12,0.0,2.9,1111,269,1111,,1109,268,99.8,0.4,70,106,6.3,9.2,0,12,0.0,2.9,24,32,2.2,2.9,0,12,0.0,2.9,0,12,0.0,2.9,1111,269,1111,,18,19,1.6,1.7,0,12,0.0,2.9,1,2,0.1,0.2,7,12,0.6,1.1,10,14,0.9,1.3,1093,270,98.4,1.7,999,265,89.9,10.9,2,4,0.2,0.4,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,92,122,8.3,10.6,0,12,0.0,2.9,92,122,8.3,10.6,541,87,,,825,180,825,,449,130,54.4,7.9,376,92,45.6,7.9
8600000US20611,20611,ZCTA5 20611,1197,266,1197,,643,181,53.7,6.3,554,122,46.3,6.3,23,34,1.9,2.9,34,45,2.8,3.9,60,47,5.0,3.7,118,56,9.9,4.3,31,28,2.6,2.5,157,129,13.1,9.6,108,70,9.0,5.5,198,94,16.5,6.1,100,51,8.4,4.9,122,68,10.2,5.0,79,46,6.6,3.8,162,96,13.5,7.5,5,7,0.4,0.6,48.8,5.4,,,1008,233,84.2,5.1,944,238,78.9,6.6,310,114,25.9,8.6,246,102,20.6,7.9,1008,233,1008,,528,166,52.4,7.5,480,107,47.6,7.5,246,102,246,,123,62,50.0,12.1,123,55,50.0,12.1,1197,266,1197,,1144,263,95.6,3.4,53,41,4.4,3.4,1144,263,95.6,3.4,786,227,65.7,14.7,279,204,23.3,15.7,41,59,3.4,4.6,0,12,0.0,2.7,0,12,0.0,2.7,0,12,0.0,2.7,0,12,0.0,2.7,38,36,3.2,3.1,0,12,0.0,2.7,5,12,0.4,1.0,0,12,0.0,2.7,0,12,0.0,2.7,22,29,1.8,2.5,0,12,0.0,2.7,11,17,0.9,1.5,0,12,0.0,2.7,0,12,0.0,2.7,0,12,0.0,2.7,0,12,0.0,2.7,0,12,0.0,2.7,0,12,0.0,2.7,53,41,4.4,3.4,0,12,0.0,2.7,12,17,1.0,1.4,19,27,1.6,2.2,6,14,0.5,1.1,1197,266,1197,,833,233,69.6,14.9,285,204,23.8,15.7,59,61,4.9,4.7,57,53,4.8,4.6,0,12,0.0,2.7,16,25,1.3,2.1,1197,266,1197,,48,43,4.0,3.6,8,12,0.7,1.0,16,25,1.3,2.1,11,18,0.9,1.5,13,19,1.1,1.6,1149,260,96.0,3.6,758,225,63.3,14.8,279,204,23.3,15.7,41,59,3.4,4.6,38,36,3.2,3.1,0,12,0.0,2.7,0,12,0.0,2.7,33,33,2.8,2.8,0,12,0.0,2.7,33,33,2.8,2.8,504,95,,,997,234,997,,528,166,53.0,7.5,469,108,47.0,7.5
8600000US20612,20612,ZCTA5 20612,473,243,473,,190,161,40.2,27.3,283,185,59.8,27.3,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,57,86,12.1,18.9,0,12,0.0,6.6,57,88,12.1,16.5,103,119,21.8,23.7,0,12,0.0,6.6,42,52,8.9,13.5,162,135,34.2,16.2,52,66,11.0,15.3,65.7,22.4,,,473,243,100.0,6.6,473,243,100.0,6.6,256,137,54.1,17.7,256,137,54.1,17.7,473,243,473,,190,161,40.2,27.3,283,185,59.8,27.3,256,137,256,,117,83,45.7,17.7,139,81,54.3,17.7,473,243,473,,440,217,93.0,7.5,33,41,7.0,7.5,440,217,93.0,7.5,440,217,93.0,7.5,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,33,41,7.0,7.5,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,473,243,473,,440,217,93.0,7.5,0,12,0.0,6.6,33,41,7.0,7.5,33,41,7.0,7.5,0,12,0.0,6.6,0,12,0.0,6.6,473,243,473,,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,473,243,100.0,6.6,440,217,93.0,7.5,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,0,12,0.0,6.6,33,41,7.0,7.5,0,12,0.0,6.6,33,41,7.0,7.5,217,91,,,473,243,473,,190,161,40.2,27.3,283,185,59.8,27.3
8600000US20613,20613,ZCTA5 20613,14606,934,14606,,7567,650,51.8,2.3,7039,496,48.2,2.3,754,187,5.2,1.2,1023,268,7.0,1.7,959,197,6.6,1.3,1033,224,7.1,1.5,888,180,6.1,1.1,1595,339,10.9,2.1,2082,301,14.3,1.8,2835,318,19.4,2.2,935,203,6.4,1.4,858,187,5.9,1.3,1098,186,7.5,1.2,390,127,2.7,0.9,156,91,1.1,0.6,40.9,1.7,,,11226,699,76.9,1.7,10761,690,73.7,1.9,2123,298,14.5,2.0,1644,246,11.3,1.6,11226,699,11226,,5708,496,50.8,2.3,5518,371,49.2,2.3,1644,246,1644,,799,154,48.6,5.4,845,149,51.4,5.4,14606,934,14606,,14155,929,96.9,1.6,451,242,3.1,1.6,14155,929,96.9,1.6,4989,776,34.2,4.5,8298,704,56.8,4.4,190,141,1.3,1.0,0,19,0.0,0.2,0,19,0.0,0.2,0,19,0.0,0.2,0,19,0.0,0.2,209,106,1.4,0.7,52,57,0.4,0.4,0,19,0.0,0.2,97,72,0.7,0.5,7,12,0.0,0.1,53,55,0.4,0.4,0,19,0.0,0.2,0,19,0.0,0.2,0,19,0.0,0.2,0,19,0.0,0.2,0,19,0.0,0.2,0,19,0.0,0.2,0,19,0.0,0.2,469,309,3.2,2.1,451,242,3.1,1.6,71,55,0.5,0.4,113,115,0.8,0.8,53,43,0.4,0.3,78,100,0.5,0.7,14606,934,14606,,5301,771,36.3,4.4,8545,728,58.5,4.3,448,235,3.1,1.6,353,150,2.4,1.0,0,19,0.0,0.2,507,308,3.5,2.1,14606,934,14606,,1046,422,7.2,2.8,226,151,1.5,1.0,194,187,1.3,1.3,30,44,0.2,0.3,596,356,4.1,2.4,13560,938,92.8,2.8,4516,696,30.9,4.0,8156,726,55.8,4.3,190,141,1.3,1.0,209,106,1.4,0.7,0,19,0.0,0.2,48,60,0.3,0.4,441,236,3.0,1.6,8,12,0.1,0.1,433,236,3.0,1.6,5112,219,,,10899,664,10899,,5473,472,50.2,2.4,5426,358,49.8,2.4
