county,county_code,territory,zipcode,town,area
ALLEGANY,1,1502,21502,CRESAPTOWN,160
ALLEGANY,1,1502,21502,CUMBERLAND,160
ALLEGANY,1,1521,21521,BARTON,160
ALLEGANY,1,1524,21524,CORRIGANVILLE,160
ALLEGANY,1,1529,21529,ELLERSLIE,160
ALLEGANY,1,1530,21530,FLINTSTONE,160
ALLEGANY,1,1532,21532,FROSTBURG,160
ALLEGANY,1,1539,21539,LONACONING,160
ALLEGANY,1,1540,21540,LUKE,160
ALLEGANY,1,1542,21542,CORRIGANVILLE,160
ALLEGANY,1,1543,21543,MIDLOTHIAN,160
ALLEGANY,1,1545,21545,MT SAVAGE,160
ALLEGANY,1,1555,21555,OLDTOWN,160
ALLEGANY,1,1557,21557,RAWLINGS,160
ALLEGANY,1,1560,21560,SPRING GAP,160
ALLEGANY,1,1562,21562,WESTERNPORT,160
ALLEGANY,1,1766,21766,LITTLE ORLEANS,160
ANNE ARUNDEL,2,701,20701,ANNAPOLIS JUNC,240
ANNE ARUNDEL,2,711,20711,LOTHIAN,240
ANNE ARUNDEL,2,714,20714,NORTH BEACH,240
ANNE ARUNDEL,2,724,20724,LAUREL,240
ANNE ARUNDEL,2,733,20733,CHURCHTON,240
ANNE ARUNDEL,2,751,20751,DEALE,240
ANNE ARUNDEL,2,754,20754,DUNKIRK,240
ANNE ARUNDEL,2,755,20755,FORT MEADE,240
ANNE ARUNDEL,2,755,20755,FT MEADE,240
ANNE ARUNDEL,2,758,20758,FRIENDSHIP,240
ANNE ARUNDEL,2,764,20764,SHADY SIDE,240
ANNE ARUNDEL,2,765,20765,GALESVILLE,240
ANNE ARUNDEL,2,776,20776,HARWOOD,240
ANNE ARUNDEL,2,778,20778,WEST RIVER,240
ANNE ARUNDEL,2,779,20779,TRACYS LANDING,240
ANNE ARUNDEL,2,794,20794,JESSUP,240
ANNE ARUNDEL,2,1012,21012,ARNOLD,240
ANNE ARUNDEL,2,1032,21032,CROWNSVILLE,240
ANNE ARUNDEL,2,1035,21035,DAVIDSONVILLE,240
ANNE ARUNDEL,2,1037,21037,EDGEWATER,240
ANNE ARUNDEL,2,1054,21054,GAMBRILLS,240
ANNE ARUNDEL,2,1056,21056,GIBSON ISLAND,240
ANNE ARUNDEL,2,1060,21060,GLEN BURNIE,240
ANNE ARUNDEL,2,1061,21061,FERNDALE,240
ANNE ARUNDEL,2,1061,21061,GLEN BURNIE,240
ANNE ARUNDEL,2,1076,21076,HANOVER,240
ANNE ARUNDEL,2,1077,21077,HARMANS,240
ANNE ARUNDEL,2,1090,21090,LINTHICUM,240
ANNE ARUNDEL,2,1090,21090,LINTHICUM HGTS,240
ANNE ARUNDEL,2,1108,21108,MILLERSVILLE,240
ANNE ARUNDEL,2,1113,21113,ODENTON,240
ANNE ARUNDEL,2,1114,21114,CROFTON,240
ANNE ARUNDEL,2,1122,21122,PASADENA,240
ANNE ARUNDEL,2,1140,21140,RIVA,240
ANNE ARUNDEL,2,1144,21144,SEVERN,240
ANNE ARUNDEL,2,1146,21146,SEVERNA PARK,240
ANNE ARUNDEL,2,1146,21146,SEVERNA PK,240
ANNE ARUNDEL,2,1225,21225,BALTO,240
ANNE ARUNDEL,2,1226,21226,BALTIMORE,240
ANNE ARUNDEL,2,1240,21240,BALTIMORE,240
ANNE ARUNDEL,2,1401,21401,ANNAPOLIS,240
ANNE ARUNDEL,2,1402,21402,ANNAPOLIS,240
